_id;brand.name;category.code;category.name;marketplace;name
6047914b6a3b4a0037a5b2e9;BURGER KING;10007596;Servicios de Alimentos y Bebidas;d28Pmf7Hgd3PE5W5x;menu familiar
604a12f873915b00362975b7;SAMSUNG;10001400;Televisiones;DdZpbfXnRFsyqmCNh;Televisor Samsung 65''
604a135873915b00362975ba;NO IDENTIFICADA;10000356;Productos para el cuidado de la piel/hidratación;GT3mjN63Pi7QyR9WS;Crema hidratante facial
604a135873915b00362975bb;NO IDENTIFICADA;10005839;Centro de Cuidado Bucal - Cepillo/Limpiador/Almacenamiento (eléctrico);GT3mjN63Pi7QyR9WS;cepillo de dientes electrico
604b3f6e13515e00410166aa;BURGER KING;10007596;Servicios de Alimentos y Bebidas;d28Pmf7Hgd3PE5W5x;menu familiar
604b3fbb13515e00410166ad;MICROSOFT;10001138;Software de computadora (no de juegos);gnDaqaJK9SWRMNatg;Licencia windows 10 PRO
604b3fe213515e00410166b0;PLAYSTATION;10007589;Servicios de Entretenimiento;dnqkmvpwszdCwQ7a4;webcam playstation 4
604b400013515e00410166b3;NO IDENTIFICADA;10000885;Desinfectantes para manos / Antisépticos;GT3mjN63Pi7QyR9WS;gel de manos
604b402913515e00410166b6;NO IDENTIFICADA;10000926;Libros/Composiciones impresos;nN4eEJCgGHHz34Gcr;libro de cocina tomo I
604b402913515e00410166b7;NO IDENTIFICADA;10000926;Libros/Composiciones impresos;nN4eEJCgGHHz34Gcr;libro de cocina tomo II
604b402913515e00410166b8;NO IDENTIFICADA;10000926;Libros/Composiciones impresos;nN4eEJCgGHHz34Gcr;libro de cocina tomo III
604b406613515e00410166bb;HAWKERS;10000637;Aparatos ópticos - Gafas de sol - Ready to Wear;TpTmQGXy22fiMLKGd;gafas de sol polarizadas
604b40f713515e00410166be;LENOVO;10005438;Soportes para Computadoras;5a3n28tvv9Ddtabod;portatil lenovo
604b412c13515e00410166c1;ALPINESTARS;10001342;Ropa deportiva - Full Body Wear;v85HnT7JtpFCDXooa;mono alpinestars
604b417513515e00410166c4;LA FALLERA;10000296;Productos a base de granos / Comidas - No Listos para el Consumo - Salados (Congelados);uQu7CPH7MRqYvavZD;arroz blanco la fallera
604b418613515e00410166c7;NO IDENTIFICADA;10000926;Libros/Composiciones impresos;nN4eEJCgGHHz34Gcr;the clean code
604b41b813515e00410166ca;CARREFOUR;10003992;Calentadores de aire - Portátiles;eAM7mS7hBPiZpqoWE;calefactor 35kw
604b420813515e00410166d3;BURGER KING;10007596;Servicios de Alimentos y Bebidas;d28Pmf7Hgd3PE5W5x;cocacola zero 50ml
604f25f013515e004101699b;NO IDENTIFICADA;10000356;Productos para el cuidado de la piel/hidratación;DdZpbfXnRFsyqmCNh;crema hidrantante
604f266413515e004101699e;NO IDENTIFICADA;10000211;Granos/Cereales - No Listos para el Consumo - (Estable en el Anaquel);uQu7CPH7MRqYvavZD;arroz integral
604f89dff79a5a003824dab5;KOIPESOL;10000040;Aceites Comestibles - Vegetales o Vegetales (Estantería);DdZpbfXnRFsyqmCNh;Koipe - Aceite refinado de girasol koipesol - 1 l - [pack de 5]
604f89dff79a5a003824daba;KOIPESOL;10000040;Aceites Comestibles - Vegetales o Vegetales (Estantería);LD7ag66XEuWjRHjxt;Koipe - Aceite refinado de girasol koipesol - 1 l - [pack de 5]
604f89e0f79a5a003824dabd;CINESA;10007589;Servicios de Entretenimiento;P96DdjbMWAMZGPynP;Entradas cine 
604f89e0f79a5a003824dac3;MATCHSTICK MONKEY;10000504;Chupetes y anillos para la dentición;DdZpbfXnRFsyqmCNh;"	MATCHSTICK MONKEY MM-T-006 - Teething toy, color yellow"
